Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
9.98884E-4,34.793115513,0.495987953,0.035028022,0.282051282,0
1.00473E-3,35.093800657,0.497445629,0.034727782,0.282051282,0
1.0157E-3,35.296397977,0.500161099,0.034527622,0.282051282,0
1.02487E-3,35.501218668,0.502408943,0.034327462,0.282051282,0
1.03284E-3,35.810261724,0.504344767,0.034027222,0.282051282,0
1.03503E-3,36.01712511,0.504875462,0.033827062,0.282051282,0
1.05184E-3,36.32967982,0.50890053,0.033526821,0.282051282,0
1.05356E-3,36.540339341,0.509310516,0.033326661,0.282051282,0
1.05807E-3,36.751867172,0.510378016,0.033126501,0.282051282,0
1.06866E-3,37.071225849,0.512865352,0.032826261,0.282051282,0
1.06915E-3,37.2850555,0.512980375,0.032626101,0.282051282,0
1.07197E-3,37.606514977,0.513639058,0.032325861,0.282051282,0
1.07578E-3,37.821535205,0.514523614,0.032125701,0.282051282,0
1.077E-3,38.036911086,0.514808357,0.03192554,0.282051282,0
1.08253E-3,38.252976737,0.516085678,0.03172538,0.282051282,0
1.08945E-3,38.579406658,0.517677488,0.03142514,0.307692308,0
1.09899E-3,38.798675646,0.519854124,0.03122498,0.307692308,0
1.10013E-3,39.0185904,0.520113346,0.03102482,0.307692308,0
1.10629E-3,39.349675536,0.521505924,0.03072458,0.307692308,0
1.11179E-3,39.571504119,0.522744533,0.03052442,0.307692308,0
1.11264E-3,39.793952885,0.522935318,0.030324259,0.307692308,0
1.11743E-3,40.017058229,0.524007026,0.030124099,0.307692308,0
1.12629E-3,40.353863699,0.525976604,0.029823859,0.307692308,0
1.12799E-3,40.579415967,0.526352732,0.029623699,0.307692308,0
1.13188E-3,40.805702195,0.527209657,0.029423539,0.307692308,0
1.134E-3,41.032474902,0.527675603,0.029223379,0.307692308,0
1.1506E-3,41.262468533,0.531297264,0.029023219,0.307692308,0
1.15518E-3,41.608379973,0.53228644,0.028722978,0.307692308,0
1.16118E-3,41.840069121,0.533575034,0.028522818,0.307692308,0
1.17067E-3,42.073420297,0.535600541,0.028322658,0.307692308,0
1.17326E-3,42.307859517,0.5361493,0.028122498,0.307692308,0
1.17449E-3,42.542734048,0.536409887,0.027922338,0.307692308,0
1.17718E-3,42.777965595,0.53698077,0.027722178,0.307692308,0
1.18685E-3,43.015262544,0.539013146,0.027522018,0.307692308,0
1.1902E-3,43.253213164,0.539713674,0.027321857,0.307692308,0
