"","filename","species","current","cc","cn","gf","he","mp"
"112","Leucadendron loranthifolium_total_curr_2010.csv","Leucadendron loranthifolium",252000,252000,252000,252000,252000,252000
"113","Leucadendron loranthifolium_total_curr_2040.csv","Leucadendron loranthifolium",252000,252000,252000,252000,252000,252000
"114","Leucadendron loranthifolium_total_curr_2070.csv","Leucadendron loranthifolium",252000,252000,252000,252000,252000,252000
"115","Leucadendron modestum_total_curr_2010.csv","Leucadendron modestum",252000,252000,252000,252000,252000,252000
"116","Leucadendron modestum_total_curr_2040.csv","Leucadendron modestum",252000,252000,252000,252000,252000,252000
"117","Leucadendron modestum_total_curr_2070.csv","Leucadendron modestum",252000,252000,252000,252000,252000,252000
"118","Leucadendron nervosum_total_curr_2010.csv","Leucadendron nervosum",252000,252000,252000,252000,252000,252000
"119","Leucadendron nervosum_total_curr_2040.csv","Leucadendron nervosum",252000,252000,252000,252000,252000,252000
"120","Leucadendron nervosum_total_curr_2070.csv","Leucadendron nervosum",252000,252000,252000,252000,252000,252000
"121","Leucadendron nitidum_total_curr_2010.csv","Leucadendron nitidum",252000,252000,252000,252000,252000,252000
"122","Leucadendron nitidum_total_curr_2040.csv","Leucadendron nitidum",252000,252000,252000,252000,252000,252000
"123","Leucadendron nitidum_total_curr_2070.csv","Leucadendron nitidum",252000,252000,252000,252000,252000,252000
"124","Leucadendron platyspermum_total_curr_2010.csv","Leucadendron platyspermum",252000,252000,252000,252000,252000,252000
"125","Leucadendron platyspermum_total_curr_2040.csv","Leucadendron platyspermum",252000,252000,252000,252000,252000,252000
"126","Leucadendron platyspermum_total_curr_2070.csv","Leucadendron platyspermum",252000,252000,252000,252000,252000,252000
"127","Leucadendron procerum_total_curr_2010.csv","Leucadendron procerum",252000,252000,252000,252000,252000,252000
"128","Leucadendron procerum_total_curr_2040.csv","Leucadendron procerum",252000,252000,252000,252000,252000,252000
"129","Leucadendron procerum_total_curr_2070.csv","Leucadendron procerum",252000,252000,252000,252000,252000,252000
"130","Leucadendron pubescens_total_curr_2010.csv","Leucadendron pubescens",252000,252000,252000,252000,252000,252000
"131","Leucadendron pubescens_total_curr_2040.csv","Leucadendron pubescens",252000,252000,252000,252000,252000,252000
"132","Leucadendron pubescens_total_curr_2070.csv","Leucadendron pubescens",252000,252000,252000,252000,252000,252000
"133","Leucadendron rubrum_total_curr_2010.csv","Leucadendron rubrum",252000,252000,252000,252000,252000,252000
"134","Leucadendron rubrum_total_curr_2040.csv","Leucadendron rubrum",252000,252000,252000,252000,252000,252000
"135","Leucadendron rubrum_total_curr_2070.csv","Leucadendron rubrum",252000,252000,252000,252000,252000,252000
"136","Leucadendron salignum_total_curr_2010.csv","Leucadendron salignum",252000,252000,252000,252000,252000,252000
"137","Leucadendron salignum_total_curr_2040.csv","Leucadendron salignum",252000,252000,252000,252000,252000,252000
