"","filename","species","current","cc","cn","gf","he","mp"
"366","Protea lacticolor_presence_curr_2070.csv","Protea lacticolor",4229,2036,1777,544,1334,567
"367","Protea laurifolia_presence_curr_2010.csv","Protea laurifolia",22320,20275,19687,20345,19849,19474
"368","Protea laurifolia_presence_curr_2040.csv","Protea laurifolia",22320,14336,12360,13937,12799,11725
"369","Protea laurifolia_presence_curr_2070.csv","Protea laurifolia",22320,10687,8689,9175,8650,8020
"370","Protea lepidocarpodendron_presence_curr_2010.csv","Protea lepidocarpodendron",7792,6900,6742,6278,6541,6337
"371","Protea lepidocarpodendron_presence_curr_2040.csv","Protea lepidocarpodendron",7792,4919,4425,3488,4245,3497
"372","Protea lepidocarpodendron_presence_curr_2070.csv","Protea lepidocarpodendron",7792,3689,3066,1636,2841,1734
"373","Protea longifolia_presence_curr_2010.csv","Protea longifolia",8792,8873,8644,8332,8422,8746
"374","Protea longifolia_presence_curr_2040.csv","Protea longifolia",8792,8823,7939,6823,7177,8340
"375","Protea longifolia_presence_curr_2070.csv","Protea longifolia",8792,9153,7643,4770,5572,7522
"376","Protea lorea_presence_curr_2010.csv","Protea lorea",11116,9493,9440,8288,8453,8646
"377","Protea lorea_presence_curr_2040.csv","Protea lorea",11116,5516,5508,1901,2111,3157
"378","Protea lorea_presence_curr_2070.csv","Protea lorea",11116,2542,2362,862,743,824
"379","Protea montana_presence_curr_2010.csv","Protea montana",1185,892,817,825,743,804
"380","Protea montana_presence_curr_2040.csv","Protea montana",1185,338,215,251,127,230
"381","Protea montana_presence_curr_2070.csv","Protea montana",1185,98,26,38,6,25
"382","Protea nitida_presence_curr_2010.csv","Protea nitida",22889,20929,20734,21862,20553,20242
"383","Protea nitida_presence_curr_2040.csv","Protea nitida",22889,15629,14874,18111,14556,13177
"384","Protea nitida_presence_curr_2070.csv","Protea nitida",22889,13413,12978,14915,12054,7535
"385","Protea obtusifolia_presence_curr_2010.csv","Protea obtusifolia",7536,9880,9169,8420,8831,9466
"386","Protea obtusifolia_presence_curr_2040.csv","Protea obtusifolia",7536,15933,14287,10886,13236,13824
"387","Protea obtusifolia_presence_curr_2070.csv","Protea obtusifolia",7536,23901,21138,13468,19087,18242
"388","Protea odorata_presence_curr_2010.csv","Protea odorata",15696,16703,16490,16801,17419,15536
"389","Protea odorata_presence_curr_2040.csv","Protea odorata",15696,19950,18556,20112,21753,15094
"390","Protea odorata_presence_curr_2070.csv","Protea odorata",15696,27624,23412,25201,29397,17493
"391","Protea pityphylla_presence_curr_2010.csv","Protea pityphylla",8723,6923,6726,6847,6625,6249
"392","Protea pityphylla_presence_curr_2040.csv","Protea pityphylla",8723,2257,1527,2298,1601,678
"393","Protea pityphylla_presence_curr_2070.csv","Protea pityphylla",8723,121,171,244,187,5
"394","Protea punctata_presence_curr_2010.csv","Protea punctata",6346,5118,5146,4754,4846,4912
"395","Protea punctata_presence_curr_2040.csv","Protea punctata",6346,2445,2531,1698,1770,1980
"396","Protea punctata_presence_curr_2070.csv","Protea punctata",6346,930,954,454,431,570
"397","Protea recondita_presence_curr_2010.csv","Protea recondita",2141,1323,1223,1301,1181,1158
"398","Protea recondita_presence_curr_2040.csv","Protea recondita",2141,176,64,166,58,63
"399","Protea recondita_presence_curr_2070.csv","Protea recondita",2141,0,0,4,0,0
"400","Protea repens_presence_curr_2010.csv","Protea repens",42171,40391,40386,37516,39238,39242
"401","Protea repens_presence_curr_2040.csv","Protea repens",42171,31883,30468,22494,26689,26107
"402","Protea repens_presence_curr_2070.csv","Protea repens",42171,23709,21761,12373,15728,15377
"403","Protea restionifolia_presence_curr_2010.csv","Protea restionifolia",8349,8563,8867,7334,7984,8961
"404","Protea restionifolia_presence_curr_2040.csv","Protea restionifolia",8349,9970,12129,4932,6473,12529
"405","Protea restionifolia_presence_curr_2070.csv","Protea restionifolia",8349,21942,29374,11344,14907,20465
"406","Protea rupicola_presence_curr_2010.csv","Protea rupicola",11008,9248,8946,8189,8457,8516
"407","Protea rupicola_presence_curr_2040.csv","Protea rupicola",11008,4675,4009,3022,3214,3369
"408","Protea rupicola_presence_curr_2070.csv","Protea rupicola",11008,2203,1650,1217,1247,1358
"409","Protea scabra_presence_curr_2010.csv","Protea scabra",10820,9082,8853,8159,8485,8416
"410","Protea scabra_presence_curr_2040.csv","Protea scabra",10820,5191,4907,3789,4238,4034
"411","Protea scabra_presence_curr_2070.csv","Protea scabra",10820,3487,3080,2012,2415,2313
"412","Protea scolymocephala_presence_curr_2010.csv","Protea scolymocephala",12037,15253,16548,14251,15602,15929
"413","Protea scolymocephala_presence_curr_2040.csv","Protea scolymocephala",12037,22841,27381,17088,22330,26528
"414","Protea scolymocephala_presence_curr_2070.csv","Protea scolymocephala",12037,34294,39717,24786,38184,37654
"415","Protea scorzonerifolia_presence_curr_2010.csv","Protea scorzonerifolia",6330,5773,5922,5500,5634,5508
"416","Protea scorzonerifolia_presence_curr_2040.csv","Protea scorzonerifolia",6330,4221,4696,3087,3666,3123
"417","Protea scorzonerifolia_presence_curr_2070.csv","Protea scorzonerifolia",6330,2843,3406,1107,2001,1117
"418","Protea stokoei_presence_curr_2010.csv","Protea stokoei",5601,4523,4285,3932,4054,4018
"419","Protea stokoei_presence_curr_2040.csv","Protea stokoei",5601,2220,1740,1032,1355,1212
"420","Protea stokoei_presence_curr_2070.csv","Protea stokoei",5601,946,589,166,379,275
"421","Protea subulifolia_presence_curr_2010.csv","Protea subulifolia",11030,10662,10465,10031,10397,10438
"422","Protea subulifolia_presence_curr_2040.csv","Protea subulifolia",11030,9607,8897,7517,8591,8732
"423","Protea subulifolia_presence_curr_2070.csv","Protea subulifolia",11030,8995,7789,5179,7092,7378
"424","Protea susannae_presence_curr_2010.csv","Protea susannae",8639,9406,8827,8711,8509,8605
"425","Protea susannae_presence_curr_2040.csv","Protea susannae",8639,12084,10165,8733,10152,9075
"426","Protea susannae_presence_curr_2070.csv","Protea susannae",8639,17001,13789,9371,13304,10651
"427","Protea venusta_presence_curr_2010.csv","Protea venusta",7542,5801,5605,5673,5361,5402
"428","Protea venusta_presence_curr_2040.csv","Protea venusta",7542,2554,2092,2264,1554,1819
"429","Protea venusta_presence_curr_2070.csv","Protea venusta",7542,925,552,609,256,477
"430","Serruria adscendens_presence_curr_2010.csv","Serruria adscendens",11438,11129,10784,10435,10728,11511
"431","Serruria adscendens_presence_curr_2040.csv","Serruria adscendens",11438,9650,7869,7326,7831,10498
"432","Serruria adscendens_presence_curr_2070.csv","Serruria adscendens",11438,7550,6083,5549,6474,7895
"433","Serruria aemula_presence_curr_2010.csv","Serruria aemula",12109,12160,12216,11666,12185,11799
"434","Serruria aemula_presence_curr_2040.csv","Serruria aemula",12109,11684,11710,9941,11500,10215
"435","Serruria aemula_presence_curr_2070.csv","Serruria aemula",12109,10829,10726,6865,9813,7856
"436","Serruria bolusii_presence_curr_2010.csv","Serruria bolusii",2551,2217,2104,2060,2143,2051
"437","Serruria bolusii_presence_curr_2040.csv","Serruria bolusii",2551,1181,946,871,1003,819
"438","Serruria bolusii_presence_curr_2070.csv","Serruria bolusii",2551,536,266,181,318,106
"439","Serruria brownii_presence_curr_2010.csv","Serruria brownii",12389,12523,12567,12956,13502,11273
"440","Serruria brownii_presence_curr_2040.csv","Serruria brownii",12389,12777,12478,14185,16008,8226
"441","Serruria brownii_presence_curr_2070.csv","Serruria brownii",12389,14602,12114,10234,16416,4641
"442","Serruria candicans_presence_curr_2010.csv","Serruria candicans",5283,4535,4543,4556,4618,4268
"443","Serruria candicans_presence_curr_2040.csv","Serruria candicans",5283,2452,2240,2410,2565,1679
"444","Serruria candicans_presence_curr_2070.csv","Serruria candicans",5283,1428,1000,1139,1347,638
"445","Serruria cyanoides_presence_curr_2010.csv","Serruria cyanoides",12602,12061,11918,11943,12369,11244
"446","Serruria cyanoides_presence_curr_2040.csv","Serruria cyanoides",12602,10594,10346,10143,11781,7980
"447","Serruria cyanoides_presence_curr_2070.csv","Serruria cyanoides",12602,10120,9672,8230,12207,4404
"448","Serruria decipiens_presence_curr_2010.csv","Serruria decipiens",11786,11032,11085,9333,10715,11662
"449","Serruria decipiens_presence_curr_2040.csv","Serruria decipiens",11786,8085,7926,5835,6508,8008
"450","Serruria decipiens_presence_curr_2070.csv","Serruria decipiens",11786,5671,3579,4835,5148,4133
"451","Serruria decumbens_presence_curr_2010.csv","Serruria decumbens",263,274,312,246,314,244
"452","Serruria decumbens_presence_curr_2040.csv","Serruria decumbens",263,302,400,215,413,210
"453","Serruria decumbens_presence_curr_2070.csv","Serruria decumbens",263,309,472,116,493,137
"454","Serruria effusa_presence_curr_2010.csv","Serruria effusa",11901,10922,10509,11032,10836,10483
"455","Serruria effusa_presence_curr_2040.csv","Serruria effusa",11901,7937,6122,6633,7401,6360
"456","Serruria effusa_presence_curr_2070.csv","Serruria effusa",11901,5727,2711,3667,4783,3330
